State,Cancer Type,Mortality Rate
Alabama,Brain and other nervous system / Female,4.1
Alabama,Brain and other nervous system / Male,6.1
Alabama,Breast / Both sexes combined,22 
Alabama,Breast / Female,22
Alabama,Breast / Male,n/a
Alabama,Cervix / Both sexes combined,3.3
Alabama,Cervix / Female,3.3
Alabama,Cervix / Male,n/a
Alabama,Colorectum / Both sexes combined,16.5
Alabama,Colorectum / Female,13.3
Alabama,Colorectum / Male,20.6
Alabama,Esophagus / Both sexes combined,4
Alabama,Esophagus / Female,1.5
Alabama,Esophagus / Male,7
Alabama,Hodgkin lymphoma / Both sexes combined,0.4
Alabama,Hodgkin lymphoma / Female,0.3
Alabama,Hodgkin lymphoma / Male,0.5
Alabama,Kidney and renal pelvis / Both sexes combined,4
Alabama,Kidney and renal pelvis / Female,2.5
Alabama,Kidney and renal pelvis / Male,6
Alabama,Larynx / Both sexes combined,1.2
Alabama,Larynx / Female,0.4
Alabama,Larynx / Male,2.3
Alabama,Leukemia / Both sexes combined,7.2
Alabama,Leukemia / Female,5.3
Alabama,Leukemia / Male,10
Alabama,Liver and intrahepatic bile duct / Both sexes combined,6.6
Alabama,Liver and intrahepatic bile duct / Female,4
Alabama,Liver and intrahepatic bile duct / Male,9.6
Alabama,Lung and bronchus / Both sexes combined,55.5
Alabama,Lung and bronchus / Female,39.5
Alabama,Lung and bronchus / Male,77.1
Alabama,Melanoma of the skin / Both sexes combined,2.7
Alabama,Melanoma of the skin / Female,1.6
Alabama,Melanoma of the skin / Male,4.2
Alabama,Myeloma / Both sexes combined,3.9
Alabama,Myeloma / Female,3.1
Alabama,Myeloma / Male,5
Alabama,Non-Hodgkin lymphoma / Both sexes combined,5.9
Alabama,Non-Hodgkin lymphoma / Female,4.8
Alabama,Non-Hodgkin lymphoma / Male,7.5
Alabama,Oral cavity and pharynx / Both sexes combined,2.7
Alabama,Oral cavity and pharynx / Female,1.4
Alabama,Oral cavity and pharynx / Male,4.2
Alabama,Ovary / Both sexes combined,8
Alabama,Ovary / Female,8
Alabama,Ovary / Male,n/a
Alabama,Pancreas / Both sexes combined,11.3
Alabama,Pancreas / Female,9.7
Alabama,Pancreas / Male,13.2
Alabama,Prostate / Both sexes combined,23.8
Alabama,Prostate / Female,n/a
Alabama,Prostate / Male,23.8
Alabama,Stomach / Both sexes combined,3.4
Alabama,Stomach / Female,2.4
Alabama,Stomach / Male,4.7
Alabama,Testis / Both sexes combined,0.2
Alabama,Testis / Female,n/a
Alabama,Testis / Male,0.2
Alabama,Thyroid / Both sexes combined,0.5
Alabama,Thyroid / Female,0.5
Alabama,Thyroid / Male,0.4
Alabama,Urinary bladder / Both sexes combined,3.9
Alabama,Urinary bladder / Female,1.8
Alabama,Urinary bladder / Male,7.1
Alabama,Uterine corpus / Both sexes combined,3.5
Alabama,Uterine corpus / Female,3.5
Alabama,Uterine corpus / Male,n/a
Alaska,All cancer types combined / Both sexes combined,172.1
Alaska,All cancer types combined / Female,146.7
Alaska,All cancer types combined / Male,203.5
Alaska,Brain and other nervous system / Both sexes combined,4.4
Alaska,Brain and other nervous system / Female,3.3
Alaska,Brain and other nervous system / Male,5.6
Alaska,Breast / Both sexes combined,20.4 
Alaska,Breast / Female,20.4
Alaska,Breast / Male,n/a
Alaska,Cervix / Both sexes combined,2.1
Alaska,Cervix / Female,2.1
Alaska,Cervix / Male,n/a
Alaska,Colorectum / Both sexes combined,15.8
Alaska,Colorectum / Female,13.5
Alaska,Colorectum / Male,18.5
Alaska,Esophagus / Both sexes combined,4.7
Alaska,Esophagus / Female,1.8
Alaska,Esophagus / Male,8
Alaska,Hodgkin lymphoma / Both sexes combined,.0001
Alaska,Hodgkin lymphoma / Female,.0001
Alaska,Hodgkin lymphoma / Male,.0001
Alaska,Kidney and renal pelvis / Both sexes combined,4.6
Alaska,Kidney and renal pelvis / Female,2.9
Alaska,Kidney and renal pelvis / Male,6.5
Alaska,Larynx / Both sexes combined,0.8
Alaska,Larynx / Female,.0001
Alaska,Larynx / Male,1.4
Alaska,Leukemia / Both sexes combined,6.7
Alaska,Leukemia / Female,4.3
Alaska,Leukemia / Male,9.4
Alaska,Liver and intrahepatic bile duct / Both sexes combined,6.5
Alaska,Liver and intrahepatic bile duct / Female,3.7
Alaska,Liver and intrahepatic bile duct / Male,9.2
Alaska,Lung and bronchus / Both sexes combined,47.6
Alaska,Lung and bronchus / Female,41.7
Alaska,Lung and bronchus / Male,54.7
Alaska,Melanoma of the skin / Both sexes combined,2.5
Alaska,Melanoma of the skin / Female,1.7
Alaska,Melanoma of the skin / Male,3.6
Alaska,Myeloma / Both sexes combined,3.4
Alaska,Myeloma / Female,2.4
Alaska,Myeloma / Male,4.7
Alaska,Non-Hodgkin lymphoma / Both sexes combined,5.4
Alaska,Non-Hodgkin lymphoma / Female,3.7
Alaska,Non-Hodgkin lymphoma / Male,7.1
Alaska,Oral cavity and pharynx / Both sexes combined,2.4
Alaska,Oral cavity and pharynx / Female,1
Alaska,Oral cavity and pharynx / Male,3.7
Alaska,Ovary / Both sexes combined,6.3
Alaska,Ovary / Female,6.3
Alaska,Ovary / Male,n/a
Alaska,Pancreas / Both sexes combined,10.9
Alaska,Pancreas / Female,9.9
Alaska,Pancreas / Male,11.9
Alaska,Prostate / Both sexes combined,20.5
Alaska,Prostate / Female,n/a
Alaska,Prostate / Male,20.5
Alaska,Stomach / Both sexes combined,4.2
Alaska,Stomach / Female,3
Alaska,Stomach / Male,5.3
Alaska,Testis / Both sexes combined,.0001
Alaska,Testis / Female,n/a
Alaska,Testis / Male,.0001
Alaska,Thyroid / Both sexes combined,0.6
Alaska,Thyroid / Female,.0001
Alaska,Thyroid / Male,.0001
Alaska,Urinary bladder / Both sexes combined,3.4
Alaska,Urinary bladder / Female,2
Alaska,Urinary bladder / Male,4.9
Alaska,Uterine corpus / Both sexes combined,4
Alaska,Uterine corpus / Female,4
Alaska,Uterine corpus / Male,n/a
Arizona,All cancer types combined / Both sexes combined,147.4
Arizona,All cancer types combined / Female,126.2
Arizona,All cancer types combined / Male,174.2
Arizona,Brain and other nervous system / Both sexes combined,4.3
Arizona,Brain and other nervous system / Female,3.6
Arizona,Brain and other nervous system / Male,5.1
Arizona,Breast / Both sexes combined,19.5 
Arizona,Breast / Female,19.5
Arizona,Breast / Male,n/a
Arizona,Cervix / Both sexes combined,2.1
Arizona,Cervix / Female,2.1
Arizona,Cervix / Male,n/a
Arizona,Colorectum / Both sexes combined,13.2
Arizona,Colorectum / Female,11.2
Arizona,Colorectum / Male,15.6
Arizona,Esophagus / Both sexes combined,4
Arizona,Esophagus / Female,1.5
Arizona,Esophagus / Male,7
Arizona,Hodgkin lymphoma / Both sexes combined,0.3
Arizona,Hodgkin lymphoma / Female,0.2
Arizona,Hodgkin lymphoma / Male,0.3
Arizona,Kidney and renal pelvis / Both sexes combined,3.7
Arizona,Kidney and renal pelvis / Female,2.2
Arizona,Kidney and renal pelvis / Male,5.4
Arizona,Larynx / Both sexes combined,0.8
Arizona,Larynx / Female,0.3
Arizona,Larynx / Male,1.3
Arizona,Leukemia / Both sexes combined,6.6
Arizona,Leukemia / Female,4.8
Arizona,Leukemia / Male,8.7
Arizona,Liver and intrahepatic bile duct / Both sexes combined,6.2
Arizona,Liver and intrahepatic bile duct / Female,3.9
Arizona,Liver and intrahepatic bile duct / Male,8.8
Arizona,Lung and bronchus / Both sexes combined,36.1
Arizona,Lung and bronchus / Female,30.4
Arizona,Lung and bronchus / Male,42.9
Arizona,Melanoma of the skin / Both sexes combined,2.9
Arizona,Melanoma of the skin / Female,1.9
Arizona,Melanoma of the skin / Male,4.2
Arizona,Myeloma / Both sexes combined,2.9
Arizona,Myeloma / Female,2.3
Arizona,Myeloma / Male,3.7
Arizona,Non-Hodgkin lymphoma / Both sexes combined,5.4
Arizona,Non-Hodgkin lymphoma / Female,4.3
Arizona,Non-Hodgkin lymphoma / Male,6.8
Arizona,Oral cavity and pharynx / Both sexes combined,1.9
Arizona,Oral cavity and pharynx / Female,0.9
Arizona,Oral cavity and pharynx / Male,3.1
Arizona,Ovary / Both sexes combined,7.3
Arizona,Ovary / Female,7.3
Arizona,Ovary / Male,n/a
Arizona,Pancreas / Both sexes combined,10.2
Arizona,Pancreas / Female,9
Arizona,Pancreas / Male,11.5
Arizona,Prostate / Both sexes combined,18.2
Arizona,Prostate / Female,n/a
Arizona,Prostate / Male,18.2
Arizona,Stomach / Both sexes combined,2.8
Arizona,Stomach / Female,2
Arizona,Stomach / Male,3.7
Arizona,Testis / Both sexes combined,0.3
Arizona,Testis / Female,n/a
Arizona,Testis / Male,0.3
Arizona,Thyroid / Both sexes combined,0.5
Arizona,Thyroid / Female,0.4
Arizona,Thyroid / Male,0.6
Arizona,Urinary bladder / Both sexes combined,4.1
Arizona,Urinary bladder / Female,1.8
Arizona,Urinary bladder / Male,7
Arizona,Uterine corpus / Both sexes combined,3.8
Arizona,Uterine corpus / Female,3.8
Arizona,Uterine corpus / Male,n/a
Arkansas,All cancer types combined / Both sexes combined,189.1
Arkansas,All cancer types combined / Female,153.8
Arkansas,All cancer types combined / Male,237
Arkansas,Brain and other nervous system / Both sexes combined,4.8
Arkansas,Brain and other nervous system / Female,3.9
Arkansas,Brain and other nervous system / Male,6
Arkansas,Breast / Both sexes combined,22.1 
Arkansas,Breast / Female,22.1
Arkansas,Breast / Male,n/a
Arkansas,Cervix / Both sexes combined,3.3
Arkansas,Cervix / Female,3.3
Arkansas,Cervix / Male,n/a
Arkansas,Colorectum / Both sexes combined,17.8
Arkansas,Colorectum / Female,14.6
Arkansas,Colorectum / Male,21.8
Arkansas,Esophagus / Both sexes combined,4.1
Arkansas,Esophagus / Female,1.4
Arkansas,Esophagus / Male,7.5
Arkansas,Hodgkin lymphoma / Both sexes combined,0.4
Arkansas,Hodgkin lymphoma / Female,0.3
Arkansas,Hodgkin lymphoma / Male,0.4
Arkansas,Kidney and renal pelvis / Both sexes combined,4.8
Arkansas,Kidney and renal pelvis / Female,3
Arkansas,Kidney and renal pelvis / Male,7.1
Arkansas,Larynx / Both sexes combined,1
Arkansas,Larynx / Female,0.4
Arkansas,Larynx / Male,1.7
Arkansas,Leukemia / Both sexes combined,7.4
Arkansas,Leukemia / Female,5.1
Arkansas,Leukemia / Male,10.4
Arkansas,Liver and intrahepatic bile duct / Both sexes combined,6.6
Arkansas,Liver and intrahepatic bile duct / Female,3.8
Arkansas,Liver and intrahepatic bile duct / Male,9.9
Arkansas,Lung and bronchus / Both sexes combined,60.1
Arkansas,Lung and bronchus / Female,43.9
Arkansas,Lung and bronchus / Male,81
Arkansas,Melanoma of the skin / Both sexes combined,2.8
Arkansas,Melanoma of the skin / Female,1.5
Arkansas,Melanoma of the skin / Male,4.4
Arkansas,Myeloma / Both sexes combined,3.5
Arkansas,Myeloma / Female,2.8
Arkansas,Myeloma / Male,4.4
Arkansas,Non-Hodgkin lymphoma / Both sexes combined,6.3
Arkansas,Non-Hodgkin lymphoma / Female,5.2
Arkansas,Non-Hodgkin lymphoma / Male,7.6
Arkansas,Oral cavity and pharynx / Both sexes combined,3.2
Arkansas,Oral cavity and pharynx / Female,1.7
Arkansas,Oral cavity and pharynx / Male,5
Arkansas,Ovary / Both sexes combined,7.6
Arkansas,Ovary / Female,7.6
Arkansas,Ovary / Male,n/a
Arkansas,Pancreas / Both sexes combined,10.9
Arkansas,Pancreas / Female,9.4
Arkansas,Pancreas / Male,12.7
Arkansas,Prostate / Both sexes combined,20.8
Arkansas,Prostate / Female,n/a
Arkansas,Prostate / Male,20.8
Arkansas,Stomach / Both sexes combined,2.9
Arkansas,Stomach / Female,2.2
Arkansas,Stomach / Male,3.8
Arkansas,Testis / Both sexes combined,.0001
Arkansas,Testis / Female,n/a
Arkansas,Testis / Male,.0001
Arkansas,Thyroid / Both sexes combined,0.4
Arkansas,Thyroid / Female,0.5
Arkansas,Thyroid / Male,0.4
Arkansas,Urinary bladder / Both sexes combined,4.7
Arkansas,Urinary bladder / Female,2.2
Arkansas,Urinary bladder / Male,8.3
Arkansas,Uterine corpus / Both sexes combined,3.6
Arkansas,Uterine corpus / Female,3.6
Arkansas,Uterine corpus / Male,n/a
California,All cancer types combined / Both sexes combined,149.6
California,All cancer types combined / Female,130.4
California,All cancer types combined / Male,176.7
California,Brain and other nervous system / Both sexes combined,4.3
California,Brain and other nervous system / Female,3.5
California,Brain and other nervous system / Male,5.2
California,Breast / Both sexes combined,20.4 
California,Breast / Female,20.4
California,Breast / Male,n/a
California,Cervix / Both sexes combined,2.3
California,Cervix / Female,2.3
California,Cervix / Male,n/a
California,Colorectum / Both sexes combined,13.5
California,Colorectum / Female,11.5
California,Colorectum / Male,15.9
California,Esophagus / Both sexes combined,3.3
California,Esophagus / Female,1.3
California,Esophagus / Male,5.9
California,Hodgkin lymphoma / Both sexes combined,0.4
California,Hodgkin lymphoma / Female,0.3
California,Hodgkin lymphoma / Male,0.5
California,Kidney and renal pelvis / Both sexes combined,3.5
California,Kidney and renal pelvis / Female,2.2
California,Kidney and renal pelvis / Male,5.1
California,Larynx / Both sexes combined,0.7
California,Larynx / Female,0.2
California,Larynx / Male,1.4
California,Leukemia / Both sexes combined,6.4
California,Leukemia / Female,5
California,Leukemia / Male,8.4
California,Liver and intrahepatic bile duct / Both sexes combined,7.5
California,Liver and intrahepatic bile duct / Female,4.6
California,Liver and intrahepatic bile duct / Male,11
California,Lung and bronchus / Both sexes combined,33.4
California,Lung and bronchus / Female,28.5
California,Lung and bronchus / Male,39.8
California,Melanoma of the skin / Both sexes combined,2.5
California,Melanoma of the skin / Female,1.5
California,Melanoma of the skin / Male,3.8
California,Myeloma / Both sexes combined,3.1
California,Myeloma / Female,2.5
California,Myeloma / Male,3.9
California,Non-Hodgkin lymphoma / Both sexes combined,5.6
California,Non-Hodgkin lymphoma / Female,4.4
California,Non-Hodgkin lymphoma / Male,7.1
California,Oral cavity and pharynx / Both sexes combined,2.4
California,Oral cavity and pharynx / Female,1.4
California,Oral cavity and pharynx / Male,3.7
California,Ovary / Both sexes combined,7.3
California,Ovary / Female,7.3
California,Ovary / Male,n/a
California,Pancreas / Both sexes combined,10.4
California,Pancreas / Female,9.2
California,Pancreas / Male,11.8
California,Prostate / Both sexes combined,20
California,Prostate / Female,n/a
California,Prostate / Male,20
California,Stomach / Both sexes combined,4.1
California,Stomach / Female,3.1
California,Stomach / Male,5.4
California,Testis / Both sexes combined,0.3
California,Testis / Female,n/a
California,Testis / Male,0.3
California,Thyroid / Both sexes combined,0.6
California,Thyroid / Female,0.6
California,Thyroid / Male,0.5
California,Urinary bladder / Both sexes combined,4
California,Urinary bladder / Female,1.9
California,Urinary bladder / Male,6.8
California,Uterine corpus / Both sexes combined,4.4
California,Uterine corpus / Female,4.4
California,Uterine corpus / Male,n/a
Colorado,All cancer types combined / Both sexes combined,142.3
Colorado,All cancer types combined / Female,125.1
Colorado,All cancer types combined / Male,166.4
Colorado,Brain and other nervous system / Both sexes combined,4.4
Colorado,Brain and other nervous system / Female,3.8
Colorado,Brain and other nervous system / Male,5.1
Colorado,Breast / Both sexes combined,19.2 
Colorado,Breast / Female,19.2
Colorado,Breast / Male,n/a
Colorado,Cervix / Both sexes combined,1.7
Colorado,Cervix / Female,1.7
Colorado,Cervix / Male,n/a
Colorado,Colorectum / Both sexes combined,12.6
Colorado,Colorectum / Female,11.1
Colorado,Colorectum / Male,14.5
Colorado,Esophagus / Both sexes combined,3.8
Colorado,Esophagus / Female,1.3
Colorado,Esophagus / Male,6.9
Colorado,Hodgkin lymphoma / Both sexes combined,0.3
Colorado,Hodgkin lymphoma / Female,0.2
Colorado,Hodgkin lymphoma / Male,0.3
Colorado,Kidney and renal pelvis / Both sexes combined,3.4
Colorado,Kidney and renal pelvis / Female,2.2
Colorado,Kidney and renal pelvis / Male,4.8
Colorado,Larynx / Both sexes combined,0.7
Colorado,Larynx / Female,0.3
Colorado,Larynx / Male,1.1
Colorado,Leukemia / Both sexes combined,6.3
Colorado,Leukemia / Female,4.6
Colorado,Leukemia / Male,8.4
Colorado,Liver and intrahepatic bile duct / Both sexes combined,5.2
Colorado,Liver and intrahepatic bile duct / Female,3.2
Colorado,Liver and intrahepatic bile duct / Male,7.5
Colorado,Lung and bronchus / Both sexes combined,31.7
Colorado,Lung and bronchus / Female,28.1
Colorado,Lung and bronchus / Male,36.4
Colorado,Melanoma of the skin / Both sexes combined,3.1
Colorado,Melanoma of the skin / Female,2.1
Colorado,Melanoma of the skin / Male,4.3
Colorado,Myeloma / Both sexes combined,3
Colorado,Myeloma / Female,2.4
Colorado,Myeloma / Male,3.9
Colorado,Non-Hodgkin lymphoma / Both sexes combined,5.2
Colorado,Non-Hodgkin lymphoma / Female,4
Colorado,Non-Hodgkin lymphoma / Male,6.6
Colorado,Oral cavity and pharynx / Both sexes combined,1.9
Colorado,Oral cavity and pharynx / Female,1.2
Colorado,Oral cavity and pharynx / Male,2.7
Colorado,Ovary / Both sexes combined,7.9
Colorado,Ovary / Female,7.9
Colorado,Ovary / Male,n/a
Colorado,Pancreas / Both sexes combined,9.6
Colorado,Pancreas / Female,8.6
Colorado,Pancreas / Male,10.9
Colorado,Prostate / Both sexes combined,21.7
Colorado,Prostate / Female,n/a
Colorado,Prostate / Male,21.7
Colorado,Stomach / Both sexes combined,2.6
Colorado,Stomach / Female,1.9
Colorado,Stomach / Male,3.6
Colorado,Testis / Both sexes combined,0.3
Colorado,Testis / Female,n/a
Colorado,Testis / Male,0.3
Colorado,Thyroid / Both sexes combined,0.5
Colorado,Thyroid / Female,0.4
Colorado,Thyroid / Male,0.5
Colorado,Urinary bladder / Both sexes combined,4.1
Colorado,Urinary bladder / Female,2
Colorado,Urinary bladder / Male,6.8
Colorado,Uterine corpus / Both sexes combined,3.7
Colorado,Uterine corpus / Female,3.7
Colorado,Uterine corpus / Male,n/a
Connecticut,All cancer types combined / Both sexes combined,153.3
Connecticut,All cancer types combined / Female,133.5
Connecticut,All cancer types combined / Male,182.5
Connecticut,Brain and other nervous system / Both sexes combined,4.2
Connecticut,Brain and other nervous system / Female,3.4
Connecticut,Brain and other nervous system / Male,5.1
Connecticut,Breast / Both sexes combined,19.1 
Connecticut,Breast / Female,19.1
Connecticut,Breast / Male,n/a
Connecticut,Cervix / Both sexes combined,1.7
Connecticut,Cervix / Female,1.7
Connecticut,Cervix / Male,n/a
Connecticut,Colorectum / Both sexes combined,11.9
Connecticut,Colorectum / Female,10.4
Connecticut,Colorectum / Male,13.8
Connecticut,Esophagus / Both sexes combined,4
Connecticut,Esophagus / Female,1.6
Connecticut,Esophagus / Male,7.1
Connecticut,Hodgkin lymphoma / Both sexes combined,0.3
Connecticut,Hodgkin lymphoma / Female,0.2
Connecticut,Hodgkin lymphoma / Male,0.3
Connecticut,Kidney and renal pelvis / Both sexes combined,3
Connecticut,Kidney and renal pelvis / Female,1.8
Connecticut,Kidney and renal pelvis / Male,4.6
Connecticut,Larynx / Both sexes combined,0.8
Connecticut,Larynx / Female,0.3
Connecticut,Larynx / Male,1.4
Connecticut,Leukemia / Both sexes combined,6.6
Connecticut,Leukemia / Female,4.9
Connecticut,Leukemia / Male,9.1
Connecticut,Liver and intrahepatic bile duct / Both sexes combined,5.6
Connecticut,Liver and intrahepatic bile duct / Female,3.2
Connecticut,Liver and intrahepatic bile duct / Male,8.7
Connecticut,Lung and bronchus / Both sexes combined,39.3
Connecticut,Lung and bronchus / Female,34.4
Connecticut,Lung and bronchus / Male,46.3
Connecticut,Melanoma of the skin / Both sexes combined,2.4
Connecticut,Melanoma of the skin / Female,1.7
Connecticut,Melanoma of the skin / Male,3.4
Connecticut,Myeloma / Both sexes combined,3.1
Connecticut,Myeloma / Female,2.6
Connecticut,Myeloma / Male,3.7
Connecticut,Non-Hodgkin lymphoma / Both sexes combined,5.4
Connecticut,Non-Hodgkin lymphoma / Female,4.3
Connecticut,Non-Hodgkin lymphoma / Male,7.1
Connecticut,Oral cavity and pharynx / Both sexes combined,1.9
Connecticut,Oral cavity and pharynx / Female,0.9
Connecticut,Oral cavity and pharynx / Male,3.1
Connecticut,Ovary / Both sexes combined,7.1
Connecticut,Ovary / Female,7.1
Connecticut,Ovary / Male,n/a
Connecticut,Pancreas / Both sexes combined,11
Connecticut,Pancreas / Female,9.8
Connecticut,Pancreas / Male,12.5
Connecticut,Prostate / Both sexes combined,18.6
Connecticut,Prostate / Female,n/a
Connecticut,Prostate / Male,18.6
Connecticut,Stomach / Both sexes combined,3.3
Connecticut,Stomach / Female,2.3
Connecticut,Stomach / Male,4.6
Connecticut,Testis / Both sexes combined,0.2
Connecticut,Testis / Female,n/a
Connecticut,Testis / Male,0.2
Connecticut,Thyroid / Both sexes combined,0.4
Connecticut,Thyroid / Female,0.4
Connecticut,Thyroid / Male,0.4
Connecticut,Urinary bladder / Both sexes combined,5
Connecticut,Urinary bladder / Female,2.5
Connecticut,Urinary bladder / Male,8.6
Connecticut,Uterine corpus / Both sexes combined,4.3
Connecticut,Uterine corpus / Female,4.3
Connecticut,Uterine corpus / Male,n/a
Delaware,All cancer types combined / Both sexes combined,174.7
Delaware,All cancer types combined / Female,150.5
Delaware,All cancer types combined / Male,208.3
Delaware,Brain and other nervous system / Both sexes combined,4
Delaware,Brain and other nervous system / Female,3.7
Delaware,Brain and other nervous system / Male,4.5
Delaware,Breast / Both sexes combined,21.9 
Delaware,Breast / Female,21.9
Delaware,Breast / Male,n/a
Delaware,Cervix / Both sexes combined,2.9
Delaware,Cervix / Female,2.9
Delaware,Cervix / Male,n/a
Delaware,Colorectum / Both sexes combined,13.6
Delaware,Colorectum / Female,10.8
Delaware,Colorectum / Male,17.1
Delaware,Esophagus / Both sexes combined,4.2
Delaware,Esophagus / Female,1.8
Delaware,Esophagus / Male,7
Delaware,Hodgkin lymphoma / Both sexes combined,0.3
Delaware,Hodgkin lymphoma / Female,.0001
Delaware,Hodgkin lymphoma / Male,0.5
Delaware,Kidney and renal pelvis / Both sexes combined,3.9
Delaware,Kidney and renal pelvis / Female,2.6
Delaware,Kidney and renal pelvis / Male,5.7
Delaware,Larynx / Both sexes combined,1.2
Delaware,Larynx / Female,0.6
Delaware,Larynx / Male,1.8
Delaware,Leukemia / Both sexes combined,6.8
Delaware,Leukemia / Female,4.7
Delaware,Leukemia / Male,9.5
Delaware,Liver and intrahepatic bile duct / Both sexes combined,6.6
Delaware,Liver and intrahepatic bile duct / Female,3.7
Delaware,Liver and intrahepatic bile duct / Male,10
Delaware,Lung and bronchus / Both sexes combined,51.1
Delaware,Lung and bronchus / Female,42.6
Delaware,Lung and bronchus / Male,62.3
Delaware,Melanoma of the skin / Both sexes combined,2.8
Delaware,Melanoma of the skin / Female,2
Delaware,Melanoma of the skin / Male,4
Delaware,Myeloma / Both sexes combined,3.4
Delaware,Myeloma / Female,2.9
Delaware,Myeloma / Male,4.2
Delaware,Non-Hodgkin lymphoma / Both sexes combined,6
Delaware,Non-Hodgkin lymphoma / Female,4.6
Delaware,Non-Hodgkin lymphoma / Male,7.8
Delaware,Oral cavity and pharynx / Both sexes combined,2.8
Delaware,Oral cavity and pharynx / Female,1.5
Delaware,Oral cavity and pharynx / Male,4.5
Delaware,Ovary / Both sexes combined,7.1
Delaware,Ovary / Female,7.1
Delaware,Ovary / Male,n/a
Delaware,Pancreas / Both sexes combined,11.6
Delaware,Pancreas / Female,9.6
Delaware,Pancreas / Male,14.1
Delaware,Prostate / Both sexes combined,19.2
Delaware,Prostate / Female,n/a
Delaware,Prostate / Male,19.2
Delaware,Stomach / Both sexes combined,3.5
Delaware,Stomach / Female,2.5
Delaware,Stomach / Male,4.6
Delaware,Testis / Both sexes combined,.0001
Delaware,Testis / Female,n/a
Delaware,Testis / Male,.0001
Delaware,Thyroid / Both sexes combined,0.6
Delaware,Thyroid / Female,0.5
Delaware,Thyroid / Male,0.6
Delaware,Urinary bladder / Both sexes combined,4.6
Delaware,Urinary bladder / Female,2.9
Delaware,Urinary bladder / Male,7.3
Delaware,Uterine corpus / Both sexes combined,5.2
Delaware,Uterine corpus / Female,5.2
